Original	Pixel	OriginalRect	PixelRect	Original_sRGB	Pixel_sRGB	OriginalFilter	PixelFilter
Assets/Resources/GameData/RoadSegments/spring_layer_dead_crystal_tree.png	Assets/ArtStyles/SpringPixel/dead-crystal-tree.png	(x:0.00, y:0.00, width:544.00, height:715.00)	(x:0.00, y:0.00, width:1051.00, height:1414.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_52_06.png	Assets/ArtStyles/SpringPixel/upright-supply-crate.png	(x:451.00, y:116.00, width:610.00, height:785.00)	(x:0.00, y:0.00, width:913.00, height:1280.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_51_49.png	Assets/ArtStyles/SpringPixel/broken-industrial-pole.png	(x:78.00, y:359.00, width:1371.00, height:312.00)	(x:0.00, y:0.00, width:1923.00, height:483.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/spring_layer_salt_dead_tree.png	Assets/ArtStyles/SpringPixel/salt-dead-tree.png	(x:1.00, y:11.00, width:308.00, height:415.00)	(x:0.00, y:0.00, width:1040.00, height:1445.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/spring_layer_cactus_fruit.png	Assets/ArtStyles/SpringPixel/coral-fungus-tree.png	(x:0.00, y:0.00, width:368.00, height:444.00)	(x:0.00, y:0.00, width:1100.00, height:1334.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_51_58.png	Assets/ArtStyles/SpringPixel/damaged-supply-chest.png	(x:243.00, y:224.00, width:1277.00, height:420.00)	(x:0.00, y:0.00, width:1612.00, height:553.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/spring_layer_reed_flower.png	Assets/ArtStyles/SpringPixel/purple-flower-stump.png	(x:1.00, y:0.00, width:405.00, height:528.00)	(x:0.00, y:0.00, width:1066.00, height:1409.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_52_31.png	Assets/ArtStyles/SpringPixel/industrial-ruins.png	(x:378.00, y:203.00, width:781.00, height:602.00)	(x:0.00, y:0.00, width:1460.00, height:991.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_52_01.png	Assets/ArtStyles/SpringPixel/wide-supply-chest.png	(x:261.00, y:197.00, width:1230.00, height:484.00)	(x:0.00, y:0.00, width:1750.00, height:677.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/spring_layer_steel_crystal_rocks.png	Assets/ArtStyles/SpringPixel/blue-crystal-rocks.png	(x:0.00, y:0.00, width:592.00, height:468.00)	(x:0.00, y:0.00, width:1378.00, height:1085.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_52_12.png	Assets/ArtStyles/SpringPixel/crashed-capsule.png	(x:345.00, y:274.00, width:840.00, height:454.00)	(x:0.00, y:0.00, width:1654.00, height:881.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_52_35.png	Assets/ArtStyles/SpringPixel/severed-cables.png	(x:321.00, y:326.00, width:908.00, height:225.00)	(x:0.00, y:0.00, width:1925.00, height:495.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_52_22.png	Assets/ArtStyles/SpringPixel/discarded-rifle-pile.png	(x:59.00, y:247.00, width:946.00, height:1112.00)	(x:0.00, y:0.00, width:1081.00, height:1367.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/spring_layer_salt_crystal_arch.png	Assets/ArtStyles/SpringPixel/salt-crystal-arch.png	(x:0.00, y:0.00, width:548.00, height:268.00)	(x:0.00, y:0.00, width:1743.00, height:856.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/spring_layer_surface_marker.png	Assets/ArtStyles/SpringPixel/crystal-rock-marker.png	(x:0.00, y:0.00, width:451.00, height:508.00)	(x:0.00, y:0.00, width:1157.00, height:1304.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/call_9v6OWhxFCrP6I4vqh7NidBQZ.png	Assets/ArtStyles/SpringPixel/broken-terminal.png	(x:25.00, y:26.00, width:1138.00, height:1236.00)	(x:0.00, y:0.00, width:1158.00, height:1255.00)	True	True	Bilinear	Point
Assets/Resources/Scence/盐碱地/ChatGPT Image 2026年8月30日 01_24_45.png	Assets/ArtStyles/SpringPixel/salt-dust-background.png	(x:0.00, y:0.00, width:1448.00, height:1086.00)	(x:0.00, y:0.00, width:1448.00, height:1086.00)	True	True	Bilinear	Point
Assets/Resources/Scence/盐碱地/Gemini_Generated_Image_wwab5bwwab5bwwab (1) (1).png	Assets/ArtStyles/SpringPixel/salt-crust-ring.png	(x:0.00, y:0.00, width:1720.00, height:1706.00)	(x:0.00, y:0.00, width:1254.00, height:1254.00)	True	True	Bilinear	Point
Assets/Resources/GameData/RoadSegments/ChatGPT Image 2026年7月31日 06_52_40.png	Assets/ArtStyles/SpringPixel/severed-cables.png	(x:321.00, y:326.00, width:908.00, height:225.00)	(x:0.00, y:0.00, width:1925.00, height:495.00)	True	True	Bilinear	Point
