sprite,world_width,world_height,logical_width,logical_height,screen_pixels_per_cell
salt-dead-tree,2.464,3.320,88.7,119.5,3.000
salt-crust-ring,8.600,8.530,309.6,307.1,3.000
salt-dust-background,10.988,8.241,395.6,296.7,3.000
dead-crystal-tree,2.720,3.575,97.9,128.7,3.000
upright-supply-crate,0.813,1.047,29.3,37.7,3.000
broken-industrial-pole,3.428,0.780,123.4,28.1,3.000
purple-flower-stump,2.025,2.640,72.9,95.0,3.000
damaged-supply-chest,1.548,0.509,55.7,18.3,3.000
industrial-ruins,3.124,2.408,112.5,86.7,3.000
crashed-capsule,3.360,1.816,121.0,65.4,3.000
wide-supply-chest,1.491,0.587,53.7,21.1,3.000
blue-crystal-rocks,2.960,2.340,106.6,84.2,3.000
salt-crystal-arch,2.740,1.340,98.6,48.2,3.000
severed-cables,2.794,0.692,100.6,24.9,3.000
discarded-rifle-pile,1.261,1.483,45.4,53.4,3.000
broken-terminal,1.379,1.498,49.7,53.9,3.000
crystal-rock-marker,1.804,2.032,64.9,73.2,3.000
coral-fungus-tree,2.103,2.537,75.7,91.3,3.000
